,Pud Thai Vs Pho,Hungry Jack s,The Comics Lounge,Fat Face Food,Saddles@HQ,McDonalds,Eat & Grab,Coffee Hq,Australian Education Academy Cafe ,Subway Vic Harbour
Tsindos Greek Restaurant,0.018214942253974842,0.01757649916745797,0.017952295428499777,0.02476875829731466,0.056599548514277384,0.0064949877136396385,0.014500256981498599,0.001977767801826136,0.037048636291125266,0.02494552017242887
Antipodes,0.01826684682740515,0.017600881831084454,0.017996408791153523,0.024814816692554573,0.05663922171846536,0.006449425573460868,0.014456532375469242,0.0020007363804493868,0.037085575186047326,0.02500179173484593
International Cakes,0.018486935191217902,0.017716660738176602,0.018169468262184175,0.024996297131859427,0.05679214164064984,0.006272870257711547,0.014287108668974365,0.0020954735017060994,0.03722677006463899,0.02523455146428382
Stalactites Restaurant,0.018675739247864948,0.01781615368579588,0.018320811003492588,0.025154410500148185,0.056925741388458365,0.006122548245416795,0.014141310223613032,0.002195372978407344,0.037350675341596924,0.025434736900152414
China Bar,0.018675739247864948,0.01781615368579588,0.018320811003492588,0.025154410500148185,0.056925741388458365,0.006122548245416795,0.014141310223613032,0.002195372978407344,0.037350675341596924,0.025434736900152414
Nam Loong,0.018596297169275418,0.01755538269197236,0.018546543036802043,0.02536787562854485,0.05717738704058109,0.005897354431695297,0.01390768641305966,0.0024801897268866527,0.0376140080341508,0.025460283050546095
Singapore Kopitiam,0.0185572873337311,0.017418552829389946,0.018667991368228942,0.02548266188455622,0.057311660965363796,0.005780731321256711,0.013784494867611883,0.002634554716455714,0.03775449215480584,0.025476469808614892
King of Kings Chinese Restaurant,0.018536022216503356,0.017344435119403277,0.01873328097205905,0.025544267471219406,0.05738371978983036,0.005719452245562389,0.013718960682798143,0.0027182517456130193,0.0378299668090596,0.025484840664223626
Yuriya Japanese Restaurant,0.018294320946721527,0.017109914475247307,0.018681445907602668,0.02547780284384359,0.057359271651717274,0.005795229453160955,0.01377473218126996,0.002771334645964647,0.037822309592229486,0.025282241083743787
Kum Den,0.01830842395595554,0.017226068489429248,0.018550942713876785,0.02535303964089571,0.05721984821488211,0.005914582537049674,0.013902854050134823,0.00261413044690396,0.03767805509139212,0.025244002980236904
Lemon Bistro,0.01813637858201605,0.017061388680127288,0.01851375634593314,0.025305115962728938,0.05720132196600214,0.005972843743667468,0.01394547418650585,0.0026622391032623317,0.03767169825744359,0.025099358418577286
